home_language,pct_of_students,county_district_school_code,academic_year
Other,0.4,29-2520-090,2018-2019
English,54.8,29-2520-300,2018-2019
Spanish,44.4,29-2520-300,2018-2019
Other,0.7,29-2520-300,2018-2019
Spanish,72.8,29-2520-301,2018-2019
English,24.5,29-2520-301,2018-2019
Other,2.7,29-2520-301,2018-2019
English,99.3,29-2550-050,2018-2019
Other,0.7,29-2550-050,2018-2019
English,99.3,29-2690-030,2018-2019
Other,0.7,29-2690-030,2018-2019
English,98.5,29-2690-050,2018-2019
Spanish,1.3,29-2690-050,2018-2019
Other,0.3,29-2690-050,2018-2019
English,97.9,29-2690-300,2018-2019
Spanish,1.8,29-2690-300,2018-2019
Other,0.3,29-2690-300,2018-2019
English,85.1,29-2760-020,2018-2019
Spanish,13.8,29-2760-020,2018-2019
Chinese,1.1,29-2760-020,2018-2019
English,79.5,29-2760-050,2018-2019
Spanish,20.5,29-2760-050,2018-2019
English,92.6,29-2940-008,2018-2019
Spanish,5.9,29-2940-008,2018-2019
Tamil,1.5,29-2940-008,2018-2019
English,96.6,29-2940-040,2018-2019
Spanish,1.9,29-2940-040,2018-2019
Other,1.5,29-2940-040,2018-2019
English,92.8,29-2940-043,2018-2019
Other,2.8,29-2940-043,2018-2019
Polish,2.2,29-2940-043,2018-2019
Spanish,2.2,29-2940-043,2018-2019
English,93.7,29-2940-045,2018-2019
Other,3.3,29-2940-045,2018-2019
Spanish,3.0,29-2940-045,2018-2019
English,93.0,29-2940-050,2018-2019
Spanish,4.5,29-2940-050,2018-2019
Other,2.5,29-2940-050,2018-2019
English,98.4,29-2940-060,2018-2019
Other,1.6,29-2940-060,2018-2019
English,89.7,29-3790-010,2018-2019
Spanish,9.8,29-3790-010,2018-2019
Other,0.5,29-3790-010,2018-2019
English,88.5,29-3790-020,2018-2019
Spanish,10.9,29-3790-020,2018-2019
Other,0.7,29-3790-020,2018-2019
English,84.5,29-3790-030,2018-2019
Spanish,13.9,29-3790-030,2018-2019
Other,1.6,29-3790-030,2018-2019
English,95.7,29-3790-040,2018-2019
Undetermined,2.5,29-3790-040,2018-2019
Spanish,1.2,29-3790-040,2018-2019
Other,0.6,29-3790-040,2018-2019
English,99.3,29-3790-045,2018-2019
Other,0.7,29-3790-045,2018-2019
English,100.0,29-3790-055,2018-2019
English,100.0,29-3800-050,2018-2019
English,97.0,29-3820-030,2018-2019
Spanish,2.0,29-3820-030,2018-2019
Other,1.0,29-3820-030,2018-2019
English,99.1,29-3820-050,2018-2019
Other,0.9,29-3820-050,2018-2019
English,97.1,29-4105-050,2018-2019
Spanish,2.8,29-4105-050,2018-2019
Other,0.1,29-4105-050,2018-2019
English,99.0,29-4105-060,2018-2019
Other,1.0,29-4105-060,2018-2019
English,93.9,29-4190-010,2018-2019
Spanish,5.3,29-4190-010,2018-2019
Other,0.8,29-4190-010,2018-2019
English,96.3,29-4190-040,2018-2019
Other,3.7,29-4190-040,2018-2019
English,93.6,29-4190-050,2018-2019
Spanish,4.4,29-4190-050,2018-2019
Other,1.9,29-4190-050,2018-2019
English,91.3,29-4190-080,2018-2019
Spanish,7.3,29-4190-080,2018-2019
Other,1.4,29-4190-080,2018-2019
English,98.2,29-4210-030,2018-2019
Spanish,1.7,29-4210-030,2018-2019
Other,0.1,29-4210-030,2018-2019
English,96.5,29-4210-050,2018-2019
Spanish,2.8,29-4210-050,2018-2019
Other,0.7,29-4210-050,2018-2019
English,94.8,29-4210-055,2018-2019
Spanish,3.6,29-4210-055,2018-2019
Other,1.6,29-4210-055,2018-2019
English,88.6,29-4210-060,2018-2019
Spanish,10.8,29-4210-060,2018-2019
Other,0.6,29-4210-060,2018-2019
English,94.0,29-4220-050,2018-2019
Spanish,4.9,29-4220-050,2018-2019
Other,1.1,29-4220-050,2018-2019
English,85.2,29-4220-060,2018-2019
Spanish,13.8,29-4220-060,2018-2019
Other,1.1,29-4220-060,2018-2019
English,56.1,29-4710-050,2018-2019
Spanish,40.4,29-4710-050,2018-2019
Arabic,1.5,29-4710-050,2018-2019
Albanian,1.0,29-4710-050,2018-2019
Other,1.0,29-4710-050,2018-2019
English,96.7,29-4950-050,2018-2019
Spanish,3.1,29-4950-050,2018-2019
Other,0.2,29-4950-050,2018-2019
English,95.6,29-4950-060,2018-2019
Spanish,3.9,29-4950-060,2018-2019
Other,0.4,29-4950-060,2018-2019
English,91.1,29-5020-050,2018-2019
Spanish,8.4,29-5020-050,2018-2019
Other,0.5,29-5020-050,2018-2019
English,93.3,29-5020-060,2018-2019
Spanish,5.8,29-5020-060,2018-2019
Other,0.9,29-5020-060,2018-2019
English,92.0,29-5020-065,2018-2019
Spanish,7.3,29-5020-065,2018-2019
Other,0.7,29-5020-065,2018-2019
English,93.0,29-5020-070,2018-2019
Spanish,5.5,29-5020-070,2018-2019
Other,1.5,29-5020-070,2018-2019
English,93.5,29-5020-075,2018-2019
Spanish,6.5,29-5020-075,2018-2019
English,94.1,29-5190-030,2018-2019
Spanish,3.5,29-5190-030,2018-2019
Other,2.4,29-5190-030,2018-2019
English,88.0,29-5190-040,2018-2019
Spanish,7.6,29-5190-040,2018-2019
Other,4.4,29-5190-040,2018-2019
English,93.4,29-5190-050,2018-2019
Spanish,5.5,29-5190-050,2018-2019
Other,1.1,29-5190-050,2018-2019
English,93.3,29-5190-060,2018-2019
Spanish,4.3,29-5190-060,2018-2019
Other,2.4,29-5190-060,2018-2019
English,89.5,29-5190-061,2018-2019
Spanish,8.4,29-5190-061,2018-2019
Other,2.1,29-5190-061,2018-2019
English,79.8,29-5190-063,2018-2019
Spanish,13.8,29-5190-063,2018-2019
Other,6.4,29-5190-063,2018-2019
English,96.2,29-5190-064,2018-2019
Spanish,2.3,29-5190-064,2018-2019
Other,1.5,29-5190-064,2018-2019
English,89.8,29-5190-065,2018-2019
Spanish,6.7,29-5190-065,2018-2019
Other,3.5,29-5190-065,2018-2019
English,81.8,29-5190-067,2018-2019
Spanish,11.2,29-5190-067,2018-2019
Other,3.6,29-5190-067,2018-2019
Vietnamese,2.0,29-5190-067,2018-2019
Urdu,1.4,29-5190-067,2018-2019
English,92.9,29-5190-070,2018-2019
Spanish,5.7,29-5190-070,2018-2019
Other,1.4,29-5190-070,2018-2019
English,96.6,29-5190-075,2018-2019
Spanish,1.8,29-5190-075,2018-2019
Other,1.6,29-5190-075,2018-2019
English,83.9,29-5190-080,2018-2019
Other,6.7,29-5190-080,2018-2019
Spanish,6.3,29-5190-080,2018-2019
Urdu,1.1,29-5190-080,2018-2019
Vietnamese,1.0,29-5190-080,2018-2019
Tagalog,1.0,29-5190-080,2018-2019
English,85.8,29-5190-090,2018-2019
Spanish,12.6,29-5190-090,2018-2019
Other,1.6,29-5190-090,2018-2019
English,96.1,29-5190-095,2018-2019
Spanish,3.0,29-5190-095,2018-2019
Other,0.9,29-5190-095,2018-2019
English,83.8,29-5190-100,2018-2019
Spanish,15.3,29-5190-100,2018-2019
Other,0.9,29-5190-100,2018-2019
English,64.3,29-5190-107,2018-2019
Spanish,29.4,29-5190-107,2018-2019
Other,4.7,29-5190-107,2018-2019
Arabic,1.6,29-5190-107,2018-2019
English,92.8,29-5190-110,2018-2019
Spanish,5.3,29-5190-110,2018-2019
Other,1.9,29-5190-110,2018-2019
English,92.5,29-5190-120,2018-2019
Other,4.1,29-5190-120,2018-2019
Spanish,3.4,29-5190-120,2018-2019
English,90.2,29-5220-050,2018-2019
"English, Middle (1100-1500)",6.7,29-5220-050,2018-2019
Spanish,2.8,29-5220-050,2018-2019
Other,0.4,29-5220-050,2018-2019
English,87.0,31-0420-020,2018-2019
Spanish,10.6,31-0420-020,2018-2019
Other,2.4,31-0420-020,2018-2019
English,90.6,31-0420-030,2018-2019
Spanish,8.2,31-0420-030,2018-2019
Other,1.2,31-0420-030,2018-2019
English,92.3,31-0420-050,2018-2019
Spanish,5.7,31-0420-050,2018-2019
Other,2.0,31-0420-050,2018-2019
English,55.2,31-0900-030,2018-2019
Spanish,29.9,31-0900-030,2018-2019
Arabic,5.7,31-0900-030,2018-2019
Other,4.8,31-0900-030,2018-2019
Polish,2.3,31-0900-030,2018-2019
Gujarati,2.1,31-0900-030,2018-2019
English,48.8,31-0900-035,2018-2019
Spanish,38.4,31-0900-035,2018-2019
Arabic,6.8,31-0900-035,2018-2019
Other,3.5,31-0900-035,2018-2019
Gujarati,1.4,31-0900-035,2018-2019
Polish,1.0,31-0900-035,2018-2019
English,65.9,31-0900-070,2018-2019
Spanish,19.2,31-0900-070,2018-2019
Other,5.2,31-0900-070,2018-2019
Arabic,4.4,31-0900-070,2018-2019
Polish,3.2,31-0900-070,2018-2019
Gujarati,2.2,31-0900-070,2018-2019
English,66.5,31-0900-080,2018-2019
Spanish,15.5,31-0900-080,2018-2019
Arabic,11.6,31-0900-080,2018-2019
Other,4.8,31-0900-080,2018-2019
Turkish,1.6,31-0900-080,2018-2019
English,81.1,31-0900-090,2018-2019
Spanish,7.2,31-0900-090,2018-2019
Other,4.4,31-0900-090,2018-2019
Arabic,3.5,31-0900-090,2018-2019
Gujarati,2.1,31-0900-090,2018-2019
Polish,1.8,31-0900-090,2018-2019
English,71.7,31-0900-100,2018-2019
Spanish,15.9,31-0900-100,2018-2019
Arabic,9.8,31-0900-100,2018-2019
Other,2.5,31-0900-100,2018-2019
English,68.4,31-0900-110,2018-2019
Spanish,16.5,31-0900-110,2018-2019
Arabic,12.0,31-0900-110,2018-2019
Bengali,1.3,31-0900-110,2018-2019
Turkish,1.3,31-0900-110,2018-2019
Other,0.6,31-0900-110,2018-2019
English,73.6,31-0900-120,2018-2019
Spanish,17.0,31-0900-120,2018-2019
Arabic,4.7,31-0900-120,2018-2019
Other,3.1,31-0900-120,2018-2019
Polish,1.6,31-0900-120,2018-2019
English,75.0,31-0900-140,2018-2019
Spanish,13.1,31-0900-140,2018-2019
Gujarati,4.5,31-0900-140,2018-2019
Other,4.5,31-0900-140,2018-2019
Polish,1.7,31-0900-140,2018-2019
Arabic,1.1,31-0900-140,2018-2019
English,80.3,31-0900-150,2018-2019
Spanish,8.9,31-0900-150,2018-2019
Gujarati,4.3,31-0900-150,2018-2019
Other,3.0,31-0900-150,2018-2019
Polish,2.6,31-0900-150,2018-2019
Albanian,1.0,31-0900-150,2018-2019
English,67.0,31-0900-160,2018-2019
Spanish,23.1,31-0900-160,2018-2019
Arabic,5.3,31-0900-160,2018-2019
Other,2.8,31-0900-160,2018-2019
Polish,1.8,31-0900-160,2018-2019
English,48.7,31-0900-170,2018-2019
Spanish,45.8,31-0900-170,2018-2019
Other,2.7,31-0900-170,2018-2019
Arabic,1.7,31-0900-170,2018-2019
Polish,1.1,31-0900-170,2018-2019
English,59.0,31-0900-180,2018-2019
Spanish,22.4,31-0900-180,2018-2019
Polish,7.7,31-0900-180,2018-2019
Other,6.6,31-0900-180,2018-2019
Gujarati,2.1,31-0900-180,2018-2019
Arabic,2.1,31-0900-180,2018-2019
English,65.0,31-0900-190,2018-2019
Arabic,15.6,31-0900-190,2018-2019
Other,7.4,31-0900-190,2018-2019
Spanish,6.6,31-0900-190,2018-2019
Gujarati,3.7,31-0900-190,2018-2019
Polish,1.6,31-0900-190,2018-2019
English,66.6,31-0900-200,2018-2019
Spanish,27.1,31-0900-200,2018-2019
Arabic,2.5,31-0900-200,2018-2019
Other,2.2,31-0900-200,2018-2019
Polish,1.6,31-0900-200,2018-2019
English,75.2,31-0900-210,2018-2019
Spanish,9.0,31-0900-210,2018-2019
Arabic,5.4,31-0900-210,2018-2019
Other,5.4,31-0900-210,2018-2019
Gujarati,3.2,31-0900-210,2018-2019
Polish,1.8,31-0900-210,2018-2019
Spanish,47.3,31-0900-230,2018-2019
English,44.2,31-0900-230,2018-2019
Arabic,4.6,31-0900-230,2018-2019
Other,3.9,31-0900-230,2018-2019
English,69.0,31-0900-301,2018-2019
Spanish,17.4,31-0900-301,2018-2019
Arabic,6.3,31-0900-301,2018-2019
Other,5.1,31-0900-301,2018-2019
Turkish,2.2,31-0900-301,2018-2019
English,68.2,31-1920-015,2018-2019
Spanish,21.6,31-1920-015,2018-2019
Arabic,4.7,31-1920-015,2018-2019
Bengali,2.4,31-1920-015,2018-2019
Other,2.0,31-1920-015,2018-2019
Albanian,1.1,31-1920-015,2018-2019
English,96.1,31-2100-050,2018-2019
Spanish,2.2,31-2100-050,2018-2019
Other,1.7,31-2100-050,2018-2019
English,94.1,31-2100-070,2018-2019
Spanish,3.8,31-2100-070,2018-2019
Other,2.1,31-2100-070,2018-2019
English,88.1,31-2100-080,2018-2019
Spanish,7.9,31-2100-080,2018-2019
Other,2.8,31-2100-080,2018-2019
Arabic,1.1,31-2100-080,2018-2019
English,94.5,31-2100-090,2018-2019
Spanish,3.6,31-2100-090,2018-2019
Other,1.0,31-2100-090,2018-2019
Arabic,1.0,31-2100-090,2018-2019
English,87.5,31-2100-100,2018-2019
Spanish,10.8,31-2100-100,2018-2019
Arabic,1.1,31-2100-100,2018-2019
Other,0.7,31-2100-100,2018-2019
English,95.2,31-2510-050,2018-2019
Spanish,2.3,31-2510-050,2018-2019
Other,1.6,31-2510-050,2018-2019
Polish,1.0,31-2510-050,2018-2019
English,89.2,31-2700-050,2018-2019
Other,4.2,31-2700-050,2018-2019
Spanish,2.6,31-2700-050,2018-2019
Arabic,1.8,31-2700-050,2018-2019
Albanian,1.0,31-2700-050,2018-2019
Turkish,1.0,31-2700-050,2018-2019
English,87.1,31-2700-060,2018-2019
Other,5.0,31-2700-060,2018-2019
Spanish,4.4,31-2700-060,2018-2019
Arabic,2.2,31-2700-060,2018-2019
Turkish,1.3,31-2700-060,2018-2019
English,94.0,31-2700-070,2018-2019
Spanish,3.8,31-2700-070,2018-2019
Other,2.2,31-2700-070,2018-2019
English,94.4,31-3640-050,2018-2019
Spanish,3.0,31-3640-050,2018-2019
Arabic,1.5,31-3640-050,2018-2019
Other,1.1,31-3640-050,2018-2019
English,93.4,31-3640-060,2018-2019
Arabic,2.6,31-3640-060,2018-2019
Spanish,2.0,31-3640-060,2018-2019
Other,2.0,31-3640-060,2018-2019
Spanish,87.0,31-3970-050,2018-2019
English,11.7,31-3970-050,2018-2019
Other,1.4,31-3970-050,2018-2019
Spanish,68.9,31-3970-080,2018-2019
English,27.7,31-3970-080,2018-2019
Gujarati,2.4,31-3970-080,2018-2019
Other,1.0,31-3970-080,2018-2019
Spanish,87.8,31-3970-085,2018-2019
English,12.2,31-3970-085,2018-2019
Spanish,62.0,31-3970-090,2018-2019
English,30.0,31-3970-090,2018-2019
Gujarati,5.4,31-3970-090,2018-2019
Other,2.6,31-3970-090,2018-2019
Spanish,88.1,31-3970-097,2018-2019
English,11.9,31-3970-097,2018-2019
Spanish,80.3,31-3970-100,2018-2019
English,19.5,31-3970-100,2018-2019
Other,0.2,31-3970-100,2018-2019
Spanish,78.7,31-3970-110,2018-2019
English,21.3,31-3970-110,2018-2019
Spanish,78.6,31-3970-120,2018-2019
English,21.0,31-3970-120,2018-2019
Other,0.3,31-3970-120,2018-2019
Spanish,91.9,31-3970-125,2018-2019
English,8.1,31-3970-125,2018-2019
Spanish,86.4,31-3970-130,2018-2019
English,13.5,31-3970-130,2018-2019
Other,0.1,31-3970-130,2018-2019
Spanish,86.3,31-3970-140,2018-2019
English,12.3,31-3970-140,2018-2019
Gujarati,1.3,31-3970-140,2018-2019
Other,0.2,31-3970-140,2018-2019
Spanish,48.6,31-3970-170,2018-2019
English,47.2,31-3970-170,2018-2019
Gujarati,3.5,31-3970-170,2018-2019
Other,0.7,31-3970-170,2018-2019
Spanish,73.2,31-3970-180,2018-2019
English,26.2,31-3970-180,2018-2019
Other,0.6,31-3970-180,2018-2019
Spanish,81.2,31-3970-200,2018-2019
English,18.6,31-3970-200,2018-2019
Other,0.2,31-3970-200,2018-2019
Spanish,76.4,31-3970-300,2018-2019
English,22.2,31-3970-300,2018-2019
Other,1.4,31-3970-300,2018-2019
Spanish,87.2,31-3970-301,2018-2019
English,7.8,31-3970-301,2018-2019
Gujarati,4.6,31-3970-301,2018-2019
Other,0.4,31-3970-301,2018-2019
Spanish,84.5,31-3970-302,2018-2019
English,14.3,31-3970-302,2018-2019
Other,1.2,31-3970-302,2018-2019
English,100.0,31-3975-090,2018-2019
Spanish,77.9,31-3975-100,2018-2019
English,22.1,31-3975-100,2018-2019
English,69.7,31-3980-010,2018-2019
Spanish,23.4,31-3980-010,2018-2019
Arabic,3.0,31-3980-010,2018-2019
Bengali,2.1,31-3980-010,2018-2019
Other,1.9,31-3980-010,2018-2019
English,77.6,31-3990-050,2018-2019
Spanish,11.2,31-3990-050,2018-2019
Other,5.4,31-3990-050,2018-2019
Arabic,5.0,31-3990-050,2018-2019
Italian,1.0,31-3990-050,2018-2019
English,88.1,31-3995-050,2018-2019
Spanish,9.4,31-3995-050,2018-2019
Other,1.4,31-3995-050,2018-2019
Bengali,1.1,31-3995-050,2018-2019
Spanish,69.9,31-4010-001,2018-2019
English,29.3,31-4010-001,2018-2019
Other,0.9,31-4010-001,2018-2019
Spanish,54.6,31-4010-002,2018-2019
English,45.0,31-4010-002,2018-2019
Other,0.4,31-4010-002,2018-2019
Spanish,69.8,31-4010-003,2018-2019
English,29.9,31-4010-003,2018-2019
Other,0.3,31-4010-003,2018-2019
English,48.2,31-4010-004,2018-2019
Spanish,44.5,31-4010-004,2018-2019
Bengali,4.4,31-4010-004,2018-2019
Arabic,2.9,31-4010-004,2018-2019
English,55.6,31-4010-005,2018-2019
Spanish,40.0,31-4010-005,2018-2019
Arabic,2.4,31-4010-005,2018-2019
Bengali,1.5,31-4010-005,2018-2019
Other,0.5,31-4010-005,2018-2019
English,77.2,31-4010-006,2018-2019
Spanish,19.8,31-4010-006,2018-2019
Arabic,1.2,31-4010-006,2018-2019
Bengali,1.2,31-4010-006,2018-2019
Other,0.6,31-4010-006,2018-2019
English,70.0,31-4010-020,2018-2019
Spanish,29.5,31-4010-020,2018-2019
Other,0.4,31-4010-020,2018-2019
English,65.3,31-4010-025,2018-2019
Spanish,30.7,31-4010-025,2018-2019
Bengali,4.0,31-4010-025,2018-2019
English,58.1,31-4010-035,2018-2019
Spanish,36.5,31-4010-035,2018-2019
Bengali,3.6,31-4010-035,2018-2019
Arabic,1.1,31-4010-035,2018-2019
Other,0.6,31-4010-035,2018-2019
English,55.8,31-4010-043,2018-2019
Spanish,43.3,31-4010-043,2018-2019
Other,0.9,31-4010-043,2018-2019
English,49.3,31-4010-045,2018-2019
Spanish,46.6,31-4010-045,2018-2019
Arabic,2.3,31-4010-045,2018-2019
Other,1.7,31-4010-045,2018-2019
English,55.1,31-4010-047,2018-2019
Spanish,44.4,31-4010-047,2018-2019
Other,0.5,31-4010-047,2018-2019
English,55.9,31-4010-050,2018-2019
Spanish,42.9,31-4010-050,2018-2019
Other,1.3,31-4010-050,2018-2019
Spanish,54.4,31-4010-060,2018-2019
English,41.2,31-4010-060,2018-2019
Bengali,4.0,31-4010-060,2018-2019
Other,0.4,31-4010-060,2018-2019
English,70.9,31-4010-061,2018-2019
Spanish,28.2,31-4010-061,2018-2019
Bengali,1.0,31-4010-061,2018-2019
Spanish,72.0,31-4010-070,2018-2019
English,27.0,31-4010-070,2018-2019
Other,1.0,31-4010-070,2018-2019
English,72.4,31-4010-080,2018-2019
Spanish,27.1,31-4010-080,2018-2019
Other,0.5,31-4010-080,2018-2019
Spanish,36.4,31-4010-090,2018-2019
Bengali,31.3,31-4010-090,2018-2019
English,31.0,31-4010-090,2018-2019
Other,1.4,31-4010-090,2018-2019
English,67.5,31-4010-100,2018-2019
Spanish,32.1,31-4010-100,2018-2019
Other,0.3,31-4010-100,2018-2019
English,46.7,31-4010-110,2018-2019
Spanish,42.5,31-4010-110,2018-2019
Bengali,9.0,31-4010-110,2018-2019
Arabic,1.4,31-4010-110,2018-2019
Other,0.5,31-4010-110,2018-2019
Spanish,73.0,31-4010-120,2018-2019
English,23.4,31-4010-120,2018-2019
Arabic,2.4,31-4010-120,2018-2019
Other,1.2,31-4010-120,2018-2019
Arabic,37.8,31-4010-130,2018-2019
Spanish,28.9,31-4010-130,2018-2019
English,27.0,31-4010-130,2018-2019
Turkish,2.9,31-4010-130,2018-2019
Other,1.8,31-4010-130,2018-2019
Bengali,1.6,31-4010-130,2018-2019
English,53.9,31-4010-140,2018-2019
Spanish,45.7,31-4010-140,2018-2019
Other,0.4,31-4010-140,2018-2019
Spanish,99.6,31-4010-150,2018-2019
Other,0.4,31-4010-150,2018-2019
English,58.4,31-4010-160,2018-2019
Spanish,39.4,31-4010-160,2018-2019
Bengali,1.3,31-4010-160,2018-2019
Other,1.0,31-4010-160,2018-2019
Spanish,50.5,31-4010-170,2018-2019
English,48.0,31-4010-170,2018-2019
Other,1.4,31-4010-170,2018-2019
Spanish,48.4,31-4010-180,2018-2019
English,41.7,31-4010-180,2018-2019
Bengali,8.1,31-4010-180,2018-2019
Other,1.8,31-4010-180,2018-2019
Spanish,69.4,31-4010-190,2018-2019
English,30.0,31-4010-190,2018-2019
Other,0.7,31-4010-190,2018-2019
Spanish,70.3,31-4010-220,2018-2019
English,28.9,31-4010-220,2018-2019
Other,0.8,31-4010-220,2018-2019
English,39.2,31-4010-230,2018-2019
Spanish,33.5,31-4010-230,2018-2019
Bengali,25.7,31-4010-230,2018-2019
Other,1.6,31-4010-230,2018-2019
English,64.0,31-4010-240,2018-2019
Spanish,34.6,31-4010-240,2018-2019
Other,1.4,31-4010-240,2018-2019
Spanish,61.4,31-4010-250,2018-2019
English,37.2,31-4010-250,2018-2019
Other,1.4,31-4010-250,2018-2019
Spanish,66.0,31-4010-270,2018-2019
English,32.7,31-4010-270,2018-2019
Other,1.3,31-4010-270,2018-2019
Spanish,48.1,31-4010-280,2018-2019
English,37.2,31-4010-280,2018-2019
Arabic,12.7,31-4010-280,2018-2019
Other,1.1,31-4010-280,2018-2019
Turkish,1.0,31-4010-280,2018-2019
English,56.2,31-4010-290,2018-2019
Spanish,41.2,31-4010-290,2018-2019
Other,2.6,31-4010-290,2018-2019
English,52.6,31-4010-300,2018-2019
Spanish,31.1,31-4010-300,2018-2019
Bengali,13.8,31-4010-300,2018-2019
Arabic,1.7,31-4010-300,2018-2019
Other,0.9,31-4010-300,2018-2019
English,42.2,31-4010-301,2018-2019
Spanish,31.9,31-4010-301,2018-2019
Bengali,25.2,31-4010-301,2018-2019
Other,0.7,31-4010-301,2018-2019
English,85.5,31-4010-303,2018-2019
Spanish,9.1,31-4010-303,2018-2019
Arabic,3.6,31-4010-303,2018-2019
Bengali,1.8,31-4010-303,2018-2019
English,44.2,31-4010-304,2018-2019
Spanish,27.9,31-4010-304,2018-2019
Bengali,21.9,31-4010-304,2018-2019
Arabic,4.4,31-4010-304,2018-2019
Other,1.6,31-4010-304,2018-2019
Spanish,39.7,31-4010-305,2018-2019
English,38.9,31-4010-305,2018-2019
Bengali,13.2,31-4010-305,2018-2019
Arabic,7.3,31-4010-305,2018-2019
Other,0.9,31-4010-305,2018-2019
English,49.3,31-4010-306,2018-2019
Spanish,44.3,31-4010-306,2018-2019
Bengali,4.6,31-4010-306,2018-2019
Arabic,1.5,31-4010-306,2018-2019
Other,0.3,31-4010-306,2018-2019
Spanish,53.0,31-4010-307,2018-2019
English,40.8,31-4010-307,2018-2019
Arabic,4.2,31-4010-307,2018-2019
Other,2.0,31-4010-307,2018-2019
English,58.6,31-4010-308,2018-2019
Spanish,37.9,31-4010-308,2018-2019
Bengali,1.8,31-4010-308,2018-2019
Arabic,1.8,31-4010-308,2018-2019
Spanish,71.0,31-4010-309,2018-2019
English,26.9,31-4010-309,2018-2019
Arabic,1.4,31-4010-309,2018-2019
Other,0.7,31-4010-309,2018-2019
English,58.5,31-4010-310,2018-2019
Spanish,32.0,31-4010-310,2018-2019
Bengali,6.0,31-4010-310,2018-2019
Arabic,2.9,31-4010-310,2018-2019
Other,0.6,31-4010-310,2018-2019
English,42.4,31-4010-311,2018-2019
Spanish,39.8,31-4010-311,2018-2019
Bengali,15.0,31-4010-311,2018-2019
Arabic,2.6,31-4010-311,2018-2019
Other,0.3,31-4010-311,2018-2019
English,55.5,31-4010-312,2018-2019
Spanish,42.1,31-4010-312,2018-2019
Other,1.3,31-4010-312,2018-2019
Arabic,1.2,31-4010-312,2018-2019
Spanish,42.3,31-4010-313,2018-2019
English,30.2,31-4010-313,2018-2019
Arabic,25.1,31-4010-313,2018-2019
Other,1.2,31-4010-313,2018-2019
Turkish,1.2,31-4010-313,2018-2019
Spanish,74.4,31-4010-315,2018-2019
English,25.3,31-4010-315,2018-2019
Other,0.3,31-4010-315,2018-2019
Spanish,62.1,31-4010-316,2018-2019
English,37.3,31-4010-316,2018-2019
Other,0.6,31-4010-316,2018-2019
English,79.6,31-4010-325,2018-2019
Spanish,19.6,31-4010-325,2018-2019
Other,0.7,31-4010-325,2018-2019
English,82.4,31-4230-050,2018-2019
Spanish,8.9,31-4230-050,2018-2019
Albanian,4.4,31-4230-050,2018-2019
Other,1.7,31-4230-050,2018-2019
Arabic,1.6,31-4230-050,2018-2019
Gujarati,1.1,31-4230-050,2018-2019
English,82.4,31-4230-055,2018-2019
Spanish,10.5,31-4230-055,2018-2019
Albanian,5.5,31-4230-055,2018-2019
Arabic,1.4,31-4230-055,2018-2019
Other,0.3,31-4230-055,2018-2019
English,83.2,31-4230-060,2018-2019
Spanish,14.3,31-4230-060,2018-2019
Other,1.4,31-4230-060,2018-2019
Albanian,1.1,31-4230-060,2018-2019
English,85.4,31-4230-070,2018-2019
Spanish,6.3,31-4230-070,2018-2019
Albanian,3.2,31-4230-070,2018-2019
Other,2.2,31-4230-070,2018-2019
Polish,1.6,31-4230-070,2018-2019
Arabic,1.3,31-4230-070,2018-2019
English,60.4,31-4270-010,2018-2019
Spanish,32.3,31-4270-010,2018-2019
Arabic,3.8,31-4270-010,2018-2019
Bengali,2.1,31-4270-010,2018-2019
Other,1.3,31-4270-010,2018-2019
English,98.1,31-4400-050,2018-2019
Other,1.9,31-4400-050,2018-2019
English,96.6,31-4400-053,2018-2019
Other,2.2,31-4400-053,2018-2019
Polish,1.2,31-4400-053,2018-2019
English,95.3,31-4400-055,2018-2019
Spanish,2.0,31-4400-055,2018-2019
Polish,1.6,31-4400-055,2018-2019
Other,1.2,31-4400-055,2018-2019
English,100.0,31-4400-060,2018-2019
English,87.2,31-5200-050,2018-2019
Spanish,6.3,31-5200-050,2018-2019
Other,3.1,31-5200-050,2018-2019
Arabic,2.0,31-5200-050,2018-2019
Bengali,1.4,31-5200-050,2018-2019
English,83.3,31-5200-060,2018-2019
Spanish,9.0,31-5200-060,2018-2019
Other,4.5,31-5200-060,2018-2019
Bengali,1.9,31-5200-060,2018-2019
Arabic,1.3,31-5200-060,2018-2019
English,88.6,31-5440-050,2018-2019
Spanish,7.3,31-5440-050,2018-2019
Other,2.3,31-5440-050,2018-2019
Albanian,1.8,31-5440-050,2018-2019
English,96.2,31-5440-070,2018-2019
